Key,English,Russian,Ukrainian
title,Title,Заголовок,Заголовок
new-game,New Game,Новая игра,Нова гра
continue,Continue,Продолжить,Продовжити
settings,Settings,Настройки,Налаштування
quit,Quit,Выход,Вийти
settings,Settings,Настройки,Налаштування
back,Back,Назад,Назад
language,Language,Язык,Мова
quality,Quality,Качество,Якість
low,Low,Низкое,Низька
high,High,Высокое,Висока
look-intensity,Look Intensity,Чувствительность обзора,Чутливість огляду
low,Low,Низкая,Низька
high,High,Высокая,Висока
pause,Pause,Пауза,Пауза
resume,Resume,Продолжить,Продовжити
main-menu,Main Menu,Главное меню,Головне меню
